strain,phage,interaction
ERS812516,K40PH129C1,0
ERS739094,K40PH129C1,0
ERS706552,K40PH129C1,0
ERS523587,K40PH129C1,0
ERS747603,K40PH129C1,0
ERS706553,K40PH129C1,0
ERS659571,K40PH129C1,0
ERS706554,K40PH129C1,0
ERS706555,K40PH129C1,0
ERS743101,K40PH129C1,0
ERS799795,K40PH129C1,0
ERS799796,K40PH129C1,0
ERS764450,K40PH129C1,0
ERS764451,K40PH129C1,0
ERS686707,K40PH129C1,0
ERS523588,K40PH129C1,0
ERS715468,K40PH129C1,0
ERS747612,K40PH129C1,0
ERS685293,K40PH129C1,0
ERS799797,K40PH129C1,0
ERS702127,K40PH129C1,0
ERS715399,K40PH129C1,0
ERS701896,K40PH129C1,0
ERS736962,K40PH129C1,0
ERS686708,K40PH129C1,0
ERS715409,K40PH129C1,0
ERS686709,K40PH129C1,0
ERS764452,K40PH129C1,0
ERS799798,K40PH129C1,0
ERS715410,K40PH129C1,0
ERS686710,K40PH129C1,0
ERS686711,K40PH129C1,0
ERS685294,K40PH129C1,0
ERS747611,K40PH129C1,0
ERS744787,K40PH129C1,0
ERS702128,K40PH129C1,0
ERS715469,K40PH129C1,0
ERS715470,K40PH129C1,0
ERS715471,K40PH129C1,0
ERS706556,K40PH129C1,0
ERS718583,K40PH129C1,0
ERS715400,K40PH129C1,0
ERS702129,K40PH129C1,0
ERS523589,K40PH129C1,0
ERS715401,K40PH129C1,0
ERS715472,K40PH129C1,0
ERS702130,K40PH129C1,0
ERS685295,K40PH129C1,0
ERS718584,K40PH129C1,0
ERS702131,K40PH129C1,0
ERS686706,K40PH129C1,0
ERS702132,K40PH129C1,0
ERS702133,K40PH129C1,0
ERS715473,K40PH129C1,0
ERS659577,K40PH129C1,0
ERS659578,K40PH129C1,0
ERS659579,K40PH129C1,0
ERS659580,K40PH129C1,0
ERS659581,K40PH129C1,0
ERS739095,K43PH164C1,0
sampleK3,K43PH164C1,0
sampleK4,K43PH164C1,0
ERS812516,K43PH164C1,0
ERS739094,K43PH164C1,0
ERS706552,K43PH164C1,0
ERS523587,K43PH164C1,0
ERS747603,K43PH164C1,0
ERS706553,K43PH164C1,0
ERS659571,K43PH164C1,0
ERS706554,K43PH164C1,0
ERS706555,K43PH164C1,0
ERS743101,K43PH164C1,0
ERS799795,K43PH164C1,0
ERS799796,K43PH164C1,0
ERS764450,K43PH164C1,0
ERS764451,K43PH164C1,0
ERS686707,K43PH164C1,0
ERS523588,K43PH164C1,0
ERS715468,K43PH164C1,0
ERS747612,K43PH164C1,0
ERS685293,K43PH164C1,0
ERS799797,K43PH164C1,0
ERS702127,K43PH164C1,0
ERS715399,K43PH164C1,0
ERS701896,K43PH164C1,0
ERS736962,K43PH164C1,0
ERS686708,K43PH164C1,0
ERS715409,K43PH164C1,0
ERS686709,K43PH164C1,0
ERS764452,K43PH164C1,1
ERS799798,K43PH164C1,0
ERS715410,K43PH164C1,0
ERS686710,K43PH164C1,0
ERS686711,K43PH164C1,0
ERS685294,K43PH164C1,0
ERS747611,K43PH164C1,1
ERS744787,K43PH164C1,0
ERS702128,K43PH164C1,0
ERS715469,K43PH164C1,0
ERS715470,K43PH164C1,0
ERS715471,K43PH164C1,0
ERS706556,K43PH164C1,0
ERS718583,K43PH164C1,0
ERS715400,K43PH164C1,0
ERS702129,K43PH164C1,0
ERS523589,K43PH164C1,0
ERS715401,K43PH164C1,0
ERS715472,K43PH164C1,0
ERS702130,K43PH164C1,0
ERS685295,K43PH164C1,0
ERS718584,K43PH164C1,0
ERS702131,K43PH164C1,0
ERS686706,K43PH164C1,0
ERS702132,K43PH164C1,0
ERS702133,K43PH164C1,0
ERS715473,K43PH164C1,0
ERS659577,K43PH164C1,0
ERS659578,K43PH164C1,0
ERS659579,K43PH164C1,0
ERS659580,K43PH164C1,0
ERS659581,K43PH164C1,0
ERS739095,K45PH128C2,0
sampleK3,K45PH128C2,0
sampleK4,K45PH128C2,0
ERS812516,K45PH128C2,0
ERS739094,K45PH128C2,0
ERS706552,K45PH128C2,0
ERS523587,K45PH128C2,0
ERS747603,K45PH128C2,0
ERS706553,K45PH128C2,0
ERS659571,K45PH128C2,0
ERS706554,K45PH128C2,0
ERS706555,K45PH128C2,0
ERS743101,K45PH128C2,0
ERS799795,K45PH128C2,0
ERS799796,K45PH128C2,0
ERS764450,K45PH128C2,0
ERS764451,K45PH128C2,0
ERS686707,K45PH128C2,0
ERS523588,K45PH128C2,0
ERS715468,K45PH128C2,0
ERS747612,K45PH128C2,0
ERS685293,K45PH128C2,0
ERS799797,K45PH128C2,0
ERS702127,K45PH128C2,0
ERS715399,K45PH128C2,0
ERS701896,K45PH128C2,0
ERS736962,K45PH128C2,0
ERS686708,K45PH128C2,0
ERS715409,K45PH128C2,0
ERS686709,K45PH128C2,0
ERS764452,K45PH128C2,0
ERS799798,K45PH128C2,1
ERS715410,K45PH128C2,0
ERS686710,K45PH128C2,0
ERS686711,K45PH128C2,0
ERS685294,K45PH128C2,0
ERS747611,K45PH128C2,0
ERS744787,K45PH128C2,0
ERS702128,K45PH128C2,0
ERS715469,K45PH128C2,0
ERS715470,K45PH128C2,0
ERS715471,K45PH128C2,0
ERS706556,K45PH128C2,0
ERS718583,K45PH128C2,0
ERS715400,K45PH128C2,0
ERS702129,K45PH128C2,0
ERS523589,K45PH128C2,0
ERS715401,K45PH128C2,0
ERS715472,K45PH128C2,0
ERS702130,K45PH128C2,0
ERS685295,K45PH128C2,0
ERS718584,K45PH128C2,0
ERS702131,K45PH128C2,0
ERS686706,K45PH128C2,0
ERS702132,K45PH128C2,0
ERS702133,K45PH128C2,0
ERS715473,K45PH128C2,0
ERS659577,K45PH128C2,0
ERS659578,K45PH128C2,0
ERS659579,K45PH128C2,0
ERS659580,K45PH128C2,0
ERS659581,K45PH128C2,0
ERS739095,K46PH129,0
sampleK3,K46PH129,0
sampleK4,K46PH129,0
ERS812516,K46PH129,0
ERS739094,K46PH129,0
ERS706552,K46PH129,0
ERS523587,K46PH129,0
ERS747603,K46PH129,0
ERS706553,K46PH129,0
ERS659571,K46PH129,0
ERS706554,K46PH129,0
ERS706555,K46PH129,0
ERS743101,K46PH129,0
ERS799795,K46PH129,0
ERS799796,K46PH129,0
ERS764450,K46PH129,0
ERS764451,K46PH129,0
ERS686707,K46PH129,0
ERS523588,K46PH129,0
ERS715468,K46PH129,0
ERS747612,K46PH129,0
ERS685293,K46PH129,0
ERS799797,K46PH129,0
ERS702127,K46PH129,0
ERS715399,K46PH129,0
ERS701896,K46PH129,0
ERS736962,K46PH129,0
ERS686708,K46PH129,0
ERS715409,K46PH129,0
ERS686709,K46PH129,0
ERS764452,K46PH129,0
ERS799798,K46PH129,0
ERS715410,K46PH129,0
ERS686710,K46PH129,0
ERS686711,K46PH129,0
ERS685294,K46PH129,0
ERS747611,K46PH129,0
ERS744787,K46PH129,0
ERS702128,K46PH129,1
ERS715469,K46PH129,0
ERS715470,K46PH129,0
ERS715471,K46PH129,0
ERS706556,K46PH129,0
ERS718583,K46PH129,0
ERS715400,K46PH129,0
ERS702129,K46PH129,0
ERS523589,K46PH129,0
ERS715401,K46PH129,0
ERS715472,K46PH129,0
ERS702130,K46PH129,0
ERS685295,K46PH129,0
ERS718584,K46PH129,0
ERS702131,K46PH129,0
ERS686706,K46PH129,0
ERS702132,K46PH129,0
ERS702133,K46PH129,0
ERS715473,K46PH129,0
ERS659577,K46PH129,0
ERS659578,K46PH129,0
ERS659579,K46PH129,0
ERS659580,K46PH129,0
ERS659581,K46PH129,0
ERS739095,K48PH164C1,0
sampleK3,K48PH164C1,0
sampleK4,K48PH164C1,0
ERS812516,K48PH164C1,0
ERS739094,K48PH164C1,0
ERS706552,K48PH164C1,0
ERS523587,K48PH164C1,0
ERS747603,K48PH164C1,0
ERS706553,K48PH164C1,0
ERS659571,K48PH164C1,0
ERS706554,K48PH164C1,0
ERS706555,K48PH164C1,0
ERS743101,K48PH164C1,0
ERS799795,K48PH164C1,0
ERS799796,K48PH164C1,0
ERS764450,K48PH164C1,0
ERS764451,K48PH164C1,0
ERS686707,K48PH164C1,0
ERS523588,K48PH164C1,0
ERS715468,K48PH164C1,0
ERS747612,K48PH164C1,0
ERS685293,K48PH164C1,0
ERS799797,K48PH164C1,0
ERS702127,K48PH164C1,0
ERS715399,K48PH164C1,0
ERS701896,K48PH164C1,0
ERS736962,K48PH164C1,0
ERS686708,K48PH164C1,0
ERS715409,K48PH164C1,0
ERS686709,K48PH164C1,0
ERS764452,K48PH164C1,0
ERS799798,K48PH164C1,0
ERS715410,K48PH164C1,0
ERS686710,K48PH164C1,0
ERS686711,K48PH164C1,0
ERS685294,K48PH164C1,0
ERS747611,K48PH164C1,0
ERS744787,K48PH164C1,0
ERS702128,K48PH164C1,0
ERS715469,K48PH164C1,0
ERS715470,K48PH164C1,0
ERS715471,K48PH164C1,0
ERS706556,K48PH164C1,0
ERS718583,K48PH164C1,0
ERS715400,K48PH164C1,0
ERS702129,K48PH164C1,0
ERS523589,K48PH164C1,0
ERS715401,K48PH164C1,0
ERS715472,K48PH164C1,0
ERS702130,K48PH164C1,0
ERS685295,K48PH164C1,0
ERS718584,K48PH164C1,0
ERS702131,K48PH164C1,0
ERS686706,K48PH164C1,0
ERS702132,K48PH164C1,0
ERS702133,K48PH164C1,0
ERS715473,K48PH164C1,0
ERS659577,K48PH164C1,0
ERS659578,K48PH164C1,0
ERS659579,K48PH164C1,0
ERS659580,K48PH164C1,0
ERS659581,K48PH164C1,0
ERS739095,K49PH164C2,0
sampleK3,K49PH164C2,0
sampleK4,K49PH164C2,0
ERS812516,K49PH164C2,0
ERS739094,K49PH164C2,0
ERS706552,K49PH164C2,0
ERS523587,K49PH164C2,0
ERS747603,K49PH164C2,0
ERS706553,K49PH164C2,0
ERS659571,K49PH164C2,1
ERS706554,K49PH164C2,0
ERS706555,K49PH164C2,0
ERS743101,K49PH164C2,0
ERS799795,K49PH164C2,0
ERS799796,K49PH164C2,0
ERS764450,K49PH164C2,0
ERS764451,K49PH164C2,0
ERS686707,K49PH164C2,0
ERS523588,K49PH164C2,0
ERS715468,K49PH164C2,0
ERS747612,K49PH164C2,0
ERS685293,K49PH164C2,0
ERS799797,K49PH164C2,0
ERS702127,K49PH164C2,0
ERS715399,K49PH164C2,0
ERS701896,K49PH164C2,0
ERS736962,K49PH164C2,0
ERS686708,K49PH164C2,0
ERS715409,K49PH164C2,0
ERS686709,K49PH164C2,0
ERS764452,K49PH164C2,0
ERS799798,K49PH164C2,0
ERS715410,K49PH164C2,0
ERS686710,K49PH164C2,0
ERS686711,K49PH164C2,0
ERS685294,K49PH164C2,0
ERS747611,K49PH164C2,0
ERS744787,K49PH164C2,0
ERS702128,K49PH164C2,0
ERS715469,K49PH164C2,0
ERS715470,K49PH164C2,1
ERS715471,K49PH164C2,0
ERS706556,K49PH164C2,0
ERS718583,K49PH164C2,0
ERS715400,K49PH164C2,0
ERS702129,K49PH164C2,1
ERS523589,K49PH164C2,0
ERS715401,K49PH164C2,0
ERS715472,K49PH164C2,0
ERS702130,K49PH164C2,1
ERS685295,K49PH164C2,0
ERS718584,K49PH164C2,0
ERS702131,K49PH164C2,0
ERS686706,K49PH164C2,0
ERS702132,K49PH164C2,0
ERS702133,K49PH164C2,0
ERS715473,K49PH164C2,0
ERS659577,K49PH164C2,0
ERS659578,K49PH164C2,0
ERS659579,K49PH164C2,0
ERS659580,K49PH164C2,0
ERS659581,K49PH164C2,0
ERS739095,K50PH164C1,0
sampleK3,K50PH164C1,0
sampleK4,K50PH164C1,0
ERS812516,K50PH164C1,0
ERS739094,K50PH164C1,0
ERS706552,K50PH164C1,0
ERS523587,K50PH164C1,0
ERS747603,K50PH164C1,0
ERS706553,K50PH164C1,0
ERS659571,K50PH164C1,0
ERS706554,K50PH164C1,0
ERS706555,K50PH164C1,0
ERS743101,K50PH164C1,0
ERS799795,K50PH164C1,0
ERS799796,K50PH164C1,0
ERS764450,K50PH164C1,0
ERS764451,K50PH164C1,0
ERS686707,K50PH164C1,0
ERS523588,K50PH164C1,0
ERS715468,K50PH164C1,0
ERS747612,K50PH164C1,0
ERS685293,K50PH164C1,0
ERS799797,K50PH164C1,0
ERS702127,K50PH164C1,0
ERS715399,K50PH164C1,0
ERS701896,K50PH164C1,0
ERS736962,K50PH164C1,0
ERS686708,K50PH164C1,0
ERS715409,K50PH164C1,0
ERS686709,K50PH164C1,0
ERS764452,K50PH164C1,0
ERS799798,K50PH164C1,0
ERS715410,K50PH164C1,0
ERS686710,K50PH164C1,0
ERS686711,K50PH164C1,0
ERS685294,K50PH164C1,0
ERS747611,K50PH164C1,1
ERS744787,K50PH164C1,0
ERS702128,K50PH164C1,0
ERS715469,K50PH164C1,0
ERS715470,K50PH164C1,0
ERS715471,K50PH164C1,1
ERS706556,K50PH164C1,0
ERS718583,K50PH164C1,0
ERS715400,K50PH164C1,0
ERS702129,K50PH164C1,0
ERS523589,K50PH164C1,0
ERS715401,K50PH164C1,0
ERS715472,K50PH164C1,0
ERS702130,K50PH164C1,0
ERS685295,K50PH164C1,0
ERS718584,K50PH164C1,0
ERS702131,K50PH164C1,0
ERS686706,K50PH164C1,1
ERS702132,K50PH164C1,0
ERS702133,K50PH164C1,0
ERS715473,K50PH164C1,0
ERS659577,K50PH164C1,0
ERS659578,K50PH164C1,0
ERS659579,K50PH164C1,0
ERS659580,K50PH164C1,0
ERS659581,K50PH164C1,0
ERS739095,K51PH129C1,0
sampleK3,K51PH129C1,0
sampleK4,K51PH129C1,0
ERS812516,K51PH129C1,0
ERS739094,K51PH129C1,0
ERS706552,K51PH129C1,0
ERS523587,K51PH129C1,0
ERS747603,K51PH129C1,0
ERS706553,K51PH129C1,0
ERS659571,K51PH129C1,0
ERS706554,K51PH129C1,0
ERS706555,K51PH129C1,0
ERS743101,K51PH129C1,0
ERS799795,K51PH129C1,0
ERS799796,K51PH129C1,0
ERS764450,K51PH129C1,0
ERS764451,K51PH129C1,0
ERS686707,K51PH129C1,0
ERS523588,K51PH129C1,0
ERS715468,K51PH129C1,0
ERS747612,K51PH129C1,0
ERS685293,K51PH129C1,0
ERS799797,K51PH129C1,0
ERS702127,K51PH129C1,0
ERS715399,K51PH129C1,0
ERS701896,K51PH129C1,0
ERS736962,K51PH129C1,0
ERS686708,K51PH129C1,0
ERS715409,K51PH129C1,0
ERS686709,K51PH129C1,0
ERS764452,K51PH129C1,0
ERS799798,K51PH129C1,0
ERS715410,K51PH129C1,0
ERS686710,K51PH129C1,0
ERS686711,K51PH129C1,0
ERS685294,K51PH129C1,0
ERS747611,K51PH129C1,0
ERS744787,K51PH129C1,0
ERS702128,K51PH129C1,0
ERS715469,K51PH129C1,0
ERS715470,K51PH129C1,0
ERS715471,K51PH129C1,0
ERS706556,K51PH129C1,1
ERS718583,K51PH129C1,0
ERS715400,K51PH129C1,0
ERS702129,K51PH129C1,0
ERS523589,K51PH129C1,0
ERS715401,K51PH129C1,0
ERS715472,K51PH129C1,0
ERS702130,K51PH129C1,0
ERS685295,K51PH129C1,0
ERS718584,K51PH129C1,0
ERS702131,K51PH129C1,0
ERS686706,K51PH129C1,0
ERS702132,K51PH129C1,0
ERS702133,K51PH129C1,0
ERS715473,K51PH129C1,0
ERS659577,K51PH129C1,0
ERS659578,K51PH129C1,0
ERS659579,K51PH129C1,0
ERS659580,K51PH129C1,0
ERS659581,K51PH129C1,0
ERS739095,K52PH129C1,0
sampleK3,K52PH129C1,0
sampleK4,K52PH129C1,0
ERS812516,K52PH129C1,0
ERS739094,K52PH129C1,0
ERS706552,K52PH129C1,0
ERS523587,K52PH129C1,0
ERS747603,K52PH129C1,0
ERS706553,K52PH129C1,0
ERS659571,K52PH129C1,0
ERS706554,K52PH129C1,0
ERS706555,K52PH129C1,0
ERS743101,K52PH129C1,0
ERS799795,K52PH129C1,0
ERS799796,K52PH129C1,0
ERS764450,K52PH129C1,0
ERS764451,K52PH129C1,0
ERS686707,K52PH129C1,1
ERS523588,K52PH129C1,0
ERS715468,K52PH129C1,0
ERS747612,K52PH129C1,0
ERS685293,K52PH129C1,0
ERS799797,K52PH129C1,0
ERS702127,K52PH129C1,0
ERS715399,K52PH129C1,0
ERS701896,K52PH129C1,0
ERS736962,K52PH129C1,0
ERS686708,K52PH129C1,1
ERS715409,K52PH129C1,1
ERS686709,K52PH129C1,0
ERS764452,K52PH129C1,0
ERS799798,K52PH129C1,0
ERS715410,K52PH129C1,0
ERS686710,K52PH129C1,1
ERS686711,K52PH129C1,0
ERS685294,K52PH129C1,0
ERS747611,K52PH129C1,0
ERS744787,K52PH129C1,0
ERS702128,K52PH129C1,0
ERS715469,K52PH129C1,0
ERS715470,K52PH129C1,0
ERS715471,K52PH129C1,0
ERS706556,K52PH129C1,0
ERS718583,K52PH129C1,0
ERS715400,K52PH129C1,0
ERS702129,K52PH129C1,0
ERS523589,K52PH129C1,0
ERS715401,K52PH129C1,0
ERS715472,K52PH129C1,0
ERS702130,K52PH129C1,0
ERS685295,K52PH129C1,0
ERS718584,K52PH129C1,1
ERS702131,K52PH129C1,0
ERS686706,K52PH129C1,0
ERS702132,K52PH129C1,0
ERS702133,K52PH129C1,0
ERS715473,K52PH129C1,0
ERS659577,K52PH129C1,0
ERS659578,K52PH129C1,0
ERS659579,K52PH129C1,0
ERS659580,K52PH129C1,0
ERS659581,K52PH129C1,0
ERS739095,K53PH164C2,0
sampleK3,K53PH164C2,0
sampleK4,K53PH164C2,0
ERS812516,K53PH164C2,0
ERS739094,K53PH164C2,0
ERS706552,K53PH164C2,0
ERS523587,K53PH164C2,0
ERS747603,K53PH164C2,0
ERS706553,K53PH164C2,0
ERS659571,K53PH164C2,0
ERS706554,K53PH164C2,0
ERS706555,K53PH164C2,0
ERS743101,K53PH164C2,0
ERS799795,K53PH164C2,0
ERS799796,K53PH164C2,0
ERS764450,K53PH164C2,0
ERS764451,K53PH164C2,0
ERS686707,K53PH164C2,0
ERS523588,K53PH164C2,0
ERS715468,K53PH164C2,0
ERS747612,K53PH164C2,0
ERS685293,K53PH164C2,0
ERS799797,K53PH164C2,0
ERS702127,K53PH164C2,0
ERS715399,K53PH164C2,0
ERS701896,K53PH164C2,0
ERS736962,K53PH164C2,0
ERS686708,K53PH164C2,0
ERS715409,K53PH164C2,0
ERS686709,K53PH164C2,0
ERS764452,K53PH164C2,0
ERS799798,K53PH164C2,0
ERS715410,K53PH164C2,0
ERS686710,K53PH164C2,0
ERS686711,K53PH164C2,0
ERS685294,K53PH164C2,0
ERS747611,K53PH164C2,0
ERS744787,K53PH164C2,0
ERS702128,K53PH164C2,0
ERS715469,K53PH164C2,0
ERS715470,K53PH164C2,0
ERS715471,K53PH164C2,0
ERS706556,K53PH164C2,0
ERS718583,K53PH164C2,0
ERS715400,K53PH164C2,0
ERS702129,K53PH164C2,0
ERS523589,K53PH164C2,0
ERS715401,K53PH164C2,0
ERS715472,K53PH164C2,0
ERS702130,K53PH164C2,0
ERS685295,K53PH164C2,0
ERS718584,K53PH164C2,0
ERS702131,K53PH164C2,0
ERS686706,K53PH164C2,0
ERS702132,K53PH164C2,0
ERS702133,K53PH164C2,0
ERS715473,K53PH164C2,0
ERS659577,K53PH164C2,0
ERS659578,K53PH164C2,0
ERS659579,K53PH164C2,0
ERS659580,K53PH164C2,0
ERS659581,K53PH164C2,0
ERS739095,K54lambda1,0
sampleK3,K54lambda1,0
sampleK4,K54lambda1,0
ERS812516,K54lambda1,0
ERS739094,K54lambda1,0
ERS706552,K54lambda1,0
ERS523587,K54lambda1,0
ERS747603,K54lambda1,0
ERS706553,K54lambda1,0
ERS659571,K54lambda1,0
ERS706554,K54lambda1,0
ERS706555,K54lambda1,0
ERS743101,K54lambda1,0
ERS799795,K54lambda1,0
ERS799796,K54lambda1,0
ERS764450,K54lambda1,0
ERS764451,K54lambda1,0
ERS686707,K54lambda1,0
ERS523588,K54lambda1,0
ERS715468,K54lambda1,0
ERS747612,K54lambda1,1
ERS685293,K54lambda1,0
ERS799797,K54lambda1,0
ERS702127,K54lambda1,0
ERS715399,K54lambda1,0
ERS701896,K54lambda1,0
ERS736962,K54lambda1,0
ERS686708,K54lambda1,0
ERS715409,K54lambda1,0
ERS686709,K54lambda1,0
ERS764452,K54lambda1,0
ERS799798,K54lambda1,0
ERS715410,K54lambda1,0
ERS686710,K54lambda1,0
ERS686711,K54lambda1,0
ERS685294,K54lambda1,0
ERS747611,K54lambda1,0
ERS744787,K54lambda1,0
ERS702128,K54lambda1,0
ERS715469,K54lambda1,0
ERS715470,K54lambda1,0
ERS715471,K54lambda1,0
ERS706556,K54lambda1,0
ERS718583,K54lambda1,1
ERS715400,K54lambda1,0
ERS702129,K54lambda1,0
ERS523589,K54lambda1,0
ERS715401,K54lambda1,1
ERS715472,K54lambda1,0
ERS702130,K54lambda1,0
ERS685295,K54lambda1,0
ERS718584,K54lambda1,0
ERS702131,K54lambda1,0
ERS686706,K54lambda1,0
ERS702132,K54lambda1,0
ERS702133,K54lambda1,0
ERS715473,K54lambda1,0
ERS659577,K54lambda1,0
ERS659578,K54lambda1,0
ERS659579,K54lambda1,0
ERS659580,K54lambda1,0
ERS659581,K54lambda1,0
ERS739095,K54lambda2,0
sampleK3,K54lambda2,0
sampleK4,K54lambda2,0
ERS812516,K54lambda2,0
ERS739094,K54lambda2,0
ERS706552,K54lambda2,0
ERS523587,K54lambda2,0
ERS747603,K54lambda2,0
ERS706553,K54lambda2,0
ERS659571,K54lambda2,0
ERS706554,K54lambda2,0
ERS706555,K54lambda2,0
ERS743101,K54lambda2,0
ERS799795,K54lambda2,0
ERS799796,K54lambda2,0
ERS764450,K54lambda2,0
ERS764451,K54lambda2,0
ERS686707,K54lambda2,0
ERS523588,K54lambda2,0
ERS715468,K54lambda2,0
ERS747612,K54lambda2,0
ERS685293,K54lambda2,0
ERS799797,K54lambda2,0
ERS702127,K54lambda2,0
ERS715399,K54lambda2,0
ERS701896,K54lambda2,0
ERS736962,K54lambda2,0
ERS686708,K54lambda2,0
ERS715409,K54lambda2,0
ERS686709,K54lambda2,0
ERS764452,K54lambda2,0
ERS799798,K54lambda2,0
ERS715410,K54lambda2,0
ERS686710,K54lambda2,0
ERS686711,K54lambda2,0
ERS685294,K54lambda2,0
ERS747611,K54lambda2,0
ERS744787,K54lambda2,0
ERS702128,K54lambda2,0
ERS715469,K54lambda2,0
ERS715470,K54lambda2,0
ERS715471,K54lambda2,0
ERS706556,K54lambda2,0
ERS718583,K54lambda2,1
ERS715400,K54lambda2,0
ERS702129,K54lambda2,0
ERS523589,K54lambda2,0
ERS715401,K54lambda2,0
ERS715472,K54lambda2,0
ERS702130,K54lambda2,0
ERS685295,K54lambda2,0
ERS718584,K54lambda2,0
ERS702131,K54lambda2,0
ERS686706,K54lambda2,0
ERS702132,K54lambda2,0
ERS702133,K54lambda2,0
ERS715473,K54lambda2,0
ERS659577,K54lambda2,0
ERS659578,K54lambda2,0
ERS659579,K54lambda2,0
ERS659580,K54lambda2,0
ERS659581,K54lambda2,0
ERS739095,K56PH164C1,0
sampleK3,K56PH164C1,0
sampleK4,K56PH164C1,0
ERS812516,K56PH164C1,0
ERS739094,K56PH164C1,0
ERS706552,K56PH164C1,0
ERS523587,K56PH164C1,0
ERS747603,K56PH164C1,0
ERS706553,K56PH164C1,0
ERS659571,K56PH164C1,0
ERS706554,K56PH164C1,0
ERS706555,K56PH164C1,0
ERS743101,K56PH164C1,0
ERS799795,K56PH164C1,0
ERS799796,K56PH164C1,0
ERS764450,K56PH164C1,0
ERS764451,K56PH164C1,0
ERS686707,K56PH164C1,0
ERS523588,K56PH164C1,0
ERS715468,K56PH164C1,0
ERS747612,K56PH164C1,0
ERS685293,K56PH164C1,0
ERS799797,K56PH164C1,0
ERS702127,K56PH164C1,0
ERS715399,K56PH164C1,0
ERS701896,K56PH164C1,0
ERS736962,K56PH164C1,0
ERS686708,K56PH164C1,0
ERS715409,K56PH164C1,0
ERS686709,K56PH164C1,0
ERS764452,K56PH164C1,0
ERS799798,K56PH164C1,0
ERS715410,K56PH164C1,0
ERS686710,K56PH164C1,0
ERS686711,K56PH164C1,0
ERS685294,K56PH164C1,0
ERS747611,K56PH164C1,0
ERS744787,K56PH164C1,0
ERS702128,K56PH164C1,0
ERS715469,K56PH164C1,0
ERS715470,K56PH164C1,0
ERS715471,K56PH164C1,0
ERS706556,K56PH164C1,0
ERS718583,K56PH164C1,0
ERS715400,K56PH164C1,0
ERS702129,K56PH164C1,1
ERS523589,K56PH164C1,0
ERS715401,K56PH164C1,0
ERS715472,K56PH164C1,0
ERS702130,K56PH164C1,0
ERS685295,K56PH164C1,0
ERS718584,K56PH164C1,0
ERS702131,K56PH164C1,0
ERS686706,K56PH164C1,0
ERS702132,K56PH164C1,0
ERS702133,K56PH164C1,0
ERS715473,K56PH164C1,0
ERS659577,K56PH164C1,0
ERS659578,K56PH164C1,0
ERS659579,K56PH164C1,0
ERS659580,K56PH164C1,0
ERS659581,K56PH164C1,0
ERS739095,K57lambda1,0
sampleK3,K57lambda1,0
sampleK4,K57lambda1,0
ERS812516,K57lambda1,0
ERS739094,K57lambda1,0
ERS706552,K57lambda1,0
ERS523587,K57lambda1,0
ERS747603,K57lambda1,0
ERS706553,K57lambda1,0
ERS659571,K57lambda1,0
ERS706554,K57lambda1,0
ERS706555,K57lambda1,0
ERS743101,K57lambda1,0
ERS799795,K57lambda1,0
ERS799796,K57lambda1,0
ERS764450,K57lambda1,0
ERS764451,K57lambda1,0
ERS686707,K57lambda1,0
ERS523588,K57lambda1,0
ERS715468,K57lambda1,0
ERS747612,K57lambda1,0
ERS685293,K57lambda1,0
ERS799797,K57lambda1,0
ERS702127,K57lambda1,0
ERS715399,K57lambda1,0
ERS701896,K57lambda1,0
ERS736962,K57lambda1,0
ERS686708,K57lambda1,0
ERS715409,K57lambda1,0
ERS686709,K57lambda1,0
ERS764452,K57lambda1,0
ERS799798,K57lambda1,0
ERS715410,K57lambda1,0
ERS686710,K57lambda1,0
ERS686711,K57lambda1,0
ERS685294,K57lambda1,0
ERS747611,K57lambda1,0
ERS744787,K57lambda1,0
ERS702128,K57lambda1,0
ERS715469,K57lambda1,0
ERS715470,K57lambda1,0
ERS715471,K57lambda1,0
ERS706556,K57lambda1,0
ERS718583,K57lambda1,0
ERS715400,K57lambda1,0
ERS702129,K57lambda1,0
ERS523589,K57lambda1,1
ERS715401,K57lambda1,0
ERS715472,K57lambda1,0
ERS702130,K57lambda1,0
ERS685295,K57lambda1,0
ERS718584,K57lambda1,0
ERS702131,K57lambda1,0
ERS686706,K57lambda1,0
ERS702132,K57lambda1,0
ERS702133,K57lambda1,0
ERS715473,K57lambda1,1
ERS659577,K57lambda1,0
ERS659578,K57lambda1,0
ERS659579,K57lambda1,0
ERS659580,K57lambda1,0
ERS659581,K57lambda1,0
ERS739095,K58PH129C2,0
sampleK3,K58PH129C2,0
sampleK4,K58PH129C2,0
ERS812516,K58PH129C2,0
ERS739094,K58PH129C2,0
ERS706552,K58PH129C2,0
ERS523587,K58PH129C2,0
ERS747603,K58PH129C2,0
ERS706553,K58PH129C2,0
ERS659571,K58PH129C2,0
ERS706554,K58PH129C2,0
ERS706555,K58PH129C2,0
ERS743101,K58PH129C2,0
ERS799795,K58PH129C2,0
ERS799796,K58PH129C2,0
ERS764450,K58PH129C2,0
ERS764451,K58PH129C2,0
ERS686707,K58PH129C2,0
ERS523588,K58PH129C2,0
ERS715468,K58PH129C2,0
ERS747612,K58PH129C2,0
ERS685293,K58PH129C2,0
ERS799797,K58PH129C2,0
ERS702127,K58PH129C2,0
ERS715399,K58PH129C2,0
ERS701896,K58PH129C2,0
ERS736962,K58PH129C2,0
ERS686708,K58PH129C2,0
